capture_file,json_file,platform,environment,scene,app_name,total_packets,non_flow_packets,total_flows,valid_flows,filtered_flows,unknown_flows,dominant_domains,dominant_ports,notes
pinduoduo.pcapng,D:\网络与系统安全\4.2\Android\pinduoduo.json,mobile,direct,shopping,pinduoduo,141059,34,765,528,237,377,api.pinduoduo.com:49;static.pddpic.com:40;chatgpt.com:14;d2a958399a52e547-2800c47a42fdc665.jomoxc.com:13;apm-a.pinduoduo.com:11;d2a958399a52e547-a45e115defef1ffb.jomoxc.com:10;funimg.pddpic.com:10;d2a958399a52e547-e6238a1d4a68d7b2.jomoxc.com:9;video4-1.pddpic.com:7;d2a958399a52e547-06368b69261db092.jomoxc.com:7,443:198;9082:138;80:126;53:34;7960:5;3478:2;12718:2;46080:2;65219:1;64482:1,
QQ.pcapng,D:\网络与系统安全\4.2\Android\QQ.json,mobile,direct,chat,qq,8473,16,273,241,32,52,qqmc.gtimg.com:26;downv6.qq.com:23;zplan.gtimg.cn:18;showv6.gtimg.cn:18;iv6.gtimg.cn:12;qqdata.ab.qq.com:11;p.qlogo.cn:10;superplayerso.gtimg.cn:10;chatgpt.com:9;aeventlog.beacon.qq.com:9,443:159;53:50;80:15;8081:8;49156:2;20067:1;14000:1;23000:1;6888:1;55627:1,
QQmusic.pcapng,D:\网络与系统安全\4.2\Android\QQmusic.json,mobile,direct,video,qqmusic,13920,63,247,197,50,111,ffyyvvq-b.catcat321.com:19;y.qq.com:19;y.gtimg.cn:19;aqqmusic.tc.qq.com:12;music-file.y.qq.com:11;qpic.y.qq.com:8;tmead.y.qq.com:8;wnsop.twns.qq.com:4;isure6-stream-qqmusic.a.bdycdn.cn:3;sg-sentry.changzhi.top:2,443:97;53:28;80:27;20067:15;3478:8;36127:3;9083:2;27917:1;55168:1;53880:1,
rednotes.pcapng,D:\网络与系统安全\4.2\Android\rednotes.json,mobile,direct,social,rednotes,58693,53,561,486,75,121,fe-video-qc.xhscdn.com:44;edith.xiaohongshu.com:32;chatgpt.com:23;sns-na-i6.xhscdn.com:23;apm-native.xiaohongshu.com:19;sns-video-qc.xhscdn.com:19;ci.xiaohongshu.com:15;fe-static.xhscdn.com:14;middledata.ldmnq.com:12;c-gtc.getui.net:12,443:232;53:109;80:108;5333:6;9443:5;19000:4;5224:3;3478:2;7002:2;21000:2,
tiktok.pcapng,D:\网络与系统安全\4.2\Android\tiktok.json,mobile,direct,video,tiktok,29281,28,644,525,119,287,ecom5-normal.ecombdapi.com:28;api5-normal-m-jj.amemv.com:20;lf-webcast-gr-sourcecdn.bytegecko.com:11;chatgpt.com:10;log2.cmpassport.com:9;webcast5-normal.amemv.com:8;ldres.ldmnq.com:8;pull-tsl-q26.douyincdn.com:8;middledata.ldmnq.com:7;n98-lf-webcast-cdn-tos-ncdn.bytegecko.com:7,53:251;443:237;9443:9;8889:4;80:3;58001:2;3478:2;52294:1;44006:1;60382:1,
browse_without_VPN.pcapng,D:\网络与系统安全\4.2\PC\browse.json,pc,direct,browser,browser,21713,20,403,264,139,88,www.bing.com:21;www.msn.cn:20;ntp.msn.cn:17;bat.bing.net:14;api.msn.cn:11;assets.msn.com:10;img-s.msn.cn:9;browser.events.data.msn.com:8;btloader.com:7;c.msn.com:6,443:119;53:114;20067:17;80:5;59170:1;59169:1;61321:1;59168:1;23000:1;54368:1,
chat.pcapng,D:\网络与系统安全\4.2\PC\chat.json,pc,direct,chat,chat,866,15,96,59,37,45,chatgpt.com:12;sec.sginput.qq.com:6;galileotelemetry.tencent.com:3;qqdata.ab.qq.com:2;sdkreport.e.qq.com:2;api.vc.bilibili.com:2;api3-eeft-gateway-v6-lf.feishu.cn:2;szextshort.weixin.qq.com:1;config-pdf-cdn.sogou-pdf.com:1;cs3-upgrade-compress-srv.sogou-compress.com:1,443:35;53:7;7826:5;80:4;52991:1;54368:1;8080:1;20067:1;23000:1;62572:1,
cloud.pcapng,D:\网络与系统安全\4.2\PC\cloud.json,pc,direct,cloud,cloud,38367,9,250,136,114,136,chatgpt.com:9;broadcast.chat.bilibili.com:6;px.effirst.com:3;api.bilibili.com:2;at.alicdn.com:2;main.vscode-cdn.net:1;px.wpk.quark.cn:1;szextshort.weixin.qq.com:1;video-play-c-zb.drive.quark.cn:1;pan.quark.cn:1,443:112;7826:6;80:2;3478:2;57554:1;50347:1;54386:1;51497:1;54368:1;6888:1,
download.pcapng,D:\网络与系统安全\4.2\PC\download.json,pc,direct,download,download,1123023,28,239,164,75,138,chatgpt.com:29;mooc.mooc.ucas.edu.cn:26;cs.mooc.ucas.edu.cn:9;v20.events.data.microsoft.com:5;i0.hdslb.com:4;dl-edge.smartscreen.microsoft.com:4;functional.events.data.microsoft.com:4;p2p-hkg1.discovery.steamserver.net:4;postnav-edge.smartscreen.microsoft.com:3;nav-edge.smartscreen.microsoft.com:3,443:81;53:20;80:10;3478:2;59602:1;61806:1;52839:1;54682:1;20067:1;23000:1,
video.pcapng,D:\网络与系统安全\4.2\PC\video.json,pc,direct,video,video,28521,146,479,253,226,177,chatgpt.com:29;www.bilibili.com:23;message.bilibili.com:7;upos-sz-mirror08c.bilivideo.com:7;data.bilibili.com:6;cn.bing.com:5;api.bilibili.com:4;api.vc.bilibili.com:4;s1.hdslb.com:3;xy112x17x39x34xy.mcdn.bilivideo.cn:3,443:88;53:57;8445:30;80:13;8446:10;8448:6;3478:3;8082:2;7826:2;8453:2,
browse_no_proxy.pcapng,D:\网络与系统安全\4.2\代理\browse_no_proxy.json,pc,direct,browser,browser,5365,15,229,150,79,63,t1.chei.com.cn:19;www.baidu.com:11;gimg3.baidu.com:11;www.googletagmanager.com:10;hectorstatic.baidu.com:9;t9.baidu.com:8;hm.baidu.com:7;pss.bdstatic.com:6;b.bdstatic.com:5;edu-wenku.bdimg.com:4,443:83;53:55;65304:1;23000:1;49672:1;80:1;8080:1;51830:1;54368:1;51829:1,
browse_proxy.pcapng,D:\网络与系统安全\4.2\代理\browse_proxy.json,pc,proxy,browser,browser_proxy,3174,23,142,120,22,54,ffyyvvq-b.catcat321.com:64;aqqmusic.tc.qq.com:4;ug.baidu.com:2;api3-eeft-gateway-v6-lf.feishu.cn:2;www.baidu.com:2;u6.y.qq.com:1,20067:59;443:34;53:8;80:5;3478:2;23000:1;49672:1;62572:1;55044:1;65321:1,
