model,label,precision,recall,f1,support
logistic_regression,browser,0.7549668874172185,0.7307692307692307,0.742671009771987,156
logistic_regression,chat,0.10526315789473684,0.03773584905660377,0.05555555555555556,53
logistic_regression,cloud,0.0,0.0,0.0,29
logistic_regression,download,0.4,0.3448275862068966,0.3703703703703704,29
logistic_regression,shopping,0.3695652173913043,0.6476190476190476,0.4705882352941176,105
logistic_regression,social,0.24031007751937986,0.3974358974358974,0.2995169082125604,78
logistic_regression,video,0.5763888888888888,0.41089108910891087,0.4797687861271676,202
random_forest,browser,0.9175257731958762,0.5705128205128205,0.7035573122529643,156
random_forest,chat,0.20930232558139536,0.16981132075471697,0.18749999999999997,53
random_forest,cloud,0.28846153846153844,0.5172413793103449,0.3703703703703704,29
random_forest,download,0.38,0.6551724137931034,0.48101265822784806,29
random_forest,shopping,0.5348837209302325,0.6571428571428571,0.5897435897435898,105
random_forest,social,0.34108527131782945,0.5641025641025641,0.42512077294685996,78
random_forest,video,0.6578947368421053,0.49504950495049505,0.5649717514124294,202
